date,old_profit,new_profit,difference,increase
240702,620.33,860.96,240.63,38.79
240702,612.49,478.39,-134.1,-21.89
240702,590.6,691.13,100.53,17.02
240702,612.49,478.39,-134.1,-21.89
240702,590.6,691.13,100.53,17.02
240702,620.33,860.96,240.63,38.79
